date,age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
2020-03-23,20-29,983,45.7422056770591,0,0.0,0.0,1166,54.2577943229409,0,0.0,0.0,2192,3.780027246546759,0,0.0,0.0
2020-03-23,30-39,1988,50.45685279187818,9,75.0,0.4527162977867204,1952,49.54314720812182,3,25.0,0.15368852459016394,3995,6.889237614030247,12,0.23909145248057376,0.3003754693366708
2020-03-23,40-49,3601,50.20214693991356,31,75.60975609756099,0.8608719800055541,3572,49.79785306008643,10,24.39024390243902,0.2799552071668533,7267,12.53168704409457,41,0.8168957959752939,0.5641943030136232
2020-03-23,50-59,6276,56.22144584789035,129,77.24550898203594,2.0554493307839388,4887,43.77855415210965,38,22.75449101796407,0.7775731532637611,11280,19.45196502785011,168,3.3472803347280333,1.4893617021276595
2020-03-23,60-69,6943,67.09509083880943,437,81.52985074626865,6.29410917470834,3405,32.904909161190574,99,18.470149253731343,2.907488986784141,10423,17.974098535929233,541,10.779039649332537,5.1904442099203685
2020-03-23,70-79,7458,66.3523131672598,1371,77.8534923339012,18.38294448913918,3782,33.64768683274021,390,22.14650766609881,10.312004230565838,11320,19.52094362723965,1768,35.22614066547121,15.618374558303888
2020-03-23,80-89,4930,57.863849765258216,1358,67.42800397219466,27.545638945233264,3590,42.13615023474178,656,32.57199602780536,18.272980501392762,8579,14.79418510407146,2023,40.306834030683405,23.58083692738081
2020-03-23,>=90,678,35.3125,208,45.11930585683297,30.67846607669616,1242,64.6875,253,54.88069414316704,20.37037037037037,1935,3.336839745468968,465,9.264793783622236,24.031007751937985
2020-03-23,unknown,161,55.32646048109965,1,100.0,0.6211180124223602,130,44.673539518900355,0,0.0,0.0,294,0.5069927055131146,1,0.019924287706714484,0.3401360544217687
2020-03-26,0-9,244,57.54716981132076,0,0.0,0.0,180,42.45283018867924,0,0.0,0.0,428,0.5801030089455137,0,0.0,0.0
2020-03-26,10-19,261,51.17647058823529,0,0.0,0.0,249,48.82352941176471,0,0.0,0.0,512,0.6939550013553808,0,0.0,0.0
2020-03-26,20-29,1203,44.34205676373017,0,0.0,0.0,1510,55.657943236269816,0,0.0,0.0,2778,3.7652480346977497,0,0.0,0.0
2020-03-26,30-39,2465,49.70760233918129,14,82.35294117647058,0.5679513184584178,2494,50.29239766081871,3,17.647058823529417,0.12028869286287087,5033,6.821631878557875,17,0.2499632406998971,0.337770713292271
2020-03-26,40-49,4597,50.14726737209556,49,73.13432835820895,1.0659125516641288,4570,49.85273262790444,18,26.865671641791053,0.3938730853391685,9295,12.598265112496614,67,0.9851492427584178,0.720817643894567
2020-03-26,50-59,7998,55.79351238228113,190,78.51239669421489,2.375593898474619,6337,44.20648761771887,52,21.487603305785125,0.8205775603597917,14508,19.66386554621849,243,3.5730039700044114,1.6749379652605458
2020-03-26,60-69,8755,66.58301011483762,606,79.73684210526315,6.92175899486008,4394,33.41698988516237,154,20.263157894736842,3.504779244424215,13243,17.949308755760367,761,11.189530951330688,5.7464320773238695
2020-03-26,70-79,9309,66.06813342796309,1846,76.88463140358185,19.83027177999785,4781,33.93186657203691,555,23.11536859641816,11.608450115038695,14198,19.243697478991603,2403,35.33303925893251,16.924919002676432
2020-03-26,80-89,6195,56.684051605819384,1808,66.91339748334568,29.184826472962065,4734,43.315948394180616,894,33.08660251665433,18.88466413181242,11001,14.910544863106534,2702,39.72945155124246,24.561403508771928
2020-03-26,>=90,887,35.100910170162244,273,44.97528830313015,30.77790304396844,1640,64.89908982983775,334,55.02471169686986,20.365853658536587,2538,3.4399566278124154,608,8.939861785031614,23.955870764381405
2020-03-26,unknown,135,56.01659751037344,0,0.0,0.0,106,43.98340248962656,0,0.0,0.0,246,0.3334236920574681,0,0.0,0.0
2020-03-30,0-9,324,55.47945205479452,0,0.0,0.0,260,44.52054794520548,0,0.0,0.0,589,0.6245228602934939,0,0.0,0.0
2020-03-30,10-19,392,51.37614678899083,0,0.0,0.0,371,48.62385321100918,0,0.0,0.0,766,0.8121978115192129,0,0.0,0.0
2020-03-30,20-29,1631,43.34307733191603,1,50.0,0.06131207847946045,2132,56.65692266808397,1,50.0,0.04690431519699812,3830,4.060989057596064,2,0.01994813484939158,0.05221932114882506
2020-03-30,30-39,3105,48.08734706520057,18,90.0,0.5797101449275363,3352,51.91265293479943,2,10.0,0.059665871121718374,6523,6.916405123420137,20,0.1994813484939158,0.3066073892380806
2020-03-30,40-49,5802,48.35,66,74.15730337078651,1.1375387797311272,6198,51.65,23,25.842696629213485,0.37108744756373024,12084,12.812791585376198,89,0.8876920007979254,0.7365110890433632
2020-03-30,50-59,10068,54.23692291116738,294,79.8913043478261,2.920143027413588,8495,45.76307708883262,74,20.108695652173914,0.8711006474396704,18678,19.804478751378404,369,3.6804308797127474,1.9755862512046256
2020-03-30,60-69,10744,65.80107790298874,923,79.63761863675583,8.59084139985108,5584,34.19892209701127,236,20.36238136324417,4.226361031518625,16395,17.3837899737043,1162,11.589866347496507,7.087526684964929
2020-03-30,70-79,11236,64.6564621935781,2597,75.25354969574036,23.11320754716981,6142,35.343537806421914,854,24.74645030425964,13.904265711494624,17464,18.51726185427093,3456,34.470377019748646,19.78928080622996
2020-03-30,80-89,7630,53.98330267440216,2603,65.38558151218287,34.115334207077325,6504,46.016697325597846,1378,34.61441848781713,21.186961869618692,14186,15.041564169988973,3984,39.73668461998803,28.084026505004932
2020-03-30,>=90,1160,32.547699214365885,424,45.20255863539446,36.55172413793103,2404,67.45230078563412,514,54.797441364605554,21.381031613976702,3573,3.788489269658156,939,9.365649311789348,26.280436607892533
2020-03-30,unknown,114,51.58371040723983,4,80.0,3.5087719298245608,107,48.41628959276018,1,20.0,0.9345794392523364,224,0.2375095427941301,5,0.04987033712347895,2.232142857142857
2020-04-02,0-9,381,55.37790697674418,0,0.0,0.0,307,44.622093023255815,0,0.0,0.0,693,0.6513219109202154,0,0.0,0.0
2020-04-02,10-19,475,51.130247578040894,0,0.0,0.0,454,48.86975242195909,0,0.0,0.0,931,0.8750082237615016,0,0.0,0.0
2020-04-02,20-29,1919,43.12359550561798,4,66.66666666666666,0.20844189682126105,2531,56.87640449438203,2,33.33333333333333,0.07902015013828526,4530,4.257558811642967,6,0.047808764940239036,0.13245033112582782
2020-04-02,30-39,3505,47.42895805142084,22,75.86206896551724,0.6276747503566333,3885,52.57104194857916,7,24.13793103448276,0.18018018018018014,7466,7.016983242323706,29,0.23107569721115534,0.3884275381730512
